Date,Close_AAPL,Close_ABBV,Close_AMZN,Close_CVX,Close_GOOGL,Close_HD,Close_JNJ,Close_JPM,Close_MA,Close_META,Close_MRK,Close_MSFT,Close_NVDA,Close_PEP,Close_PG,Close_TSLA,Close_UNH,Close_V,Close_WMT,Close_XOM,High_AAPL,High_ABBV,High_AMZN,High_CVX,High_GOOGL,High_HD,High_JNJ,High_JPM,High_MA,High_META,High_MRK,High_MSFT,High_NVDA,High_PEP,High_PG,High_TSLA,High_UNH,High_V,High_WMT,High_XOM,Low_AAPL,Low_ABBV,Low_AMZN,Low_CVX,Low_GOOGL,Low_HD,Low_JNJ,Low_JPM,Low_MA,Low_META,Low_MRK,Low_MSFT,Low_NVDA,Low_PEP,Low_PG,Low_TSLA,Low_UNH,Low_V,Low_WMT,Low_XOM,Open_AAPL,Open_ABBV,Open_AMZN,Open_CVX,Open_GOOGL,Open_HD,Open_JNJ,Open_JPM,Open_MA,Open_META,Open_MRK,Open_MSFT,Open_NVDA,Open_PEP,Open_PG,Open_TSLA,Open_UNH,Open_V,Open_WMT,Open_XOM,Volume_AAPL,Volume_ABBV,Volume_AMZN,Volume_CVX,Volume_GOOGL,Volume_HD,Volume_JNJ,Volume_JPM,Volume_MA,Volume_META,Volume_MRK,Volume_MSFT,Volume_NVDA,Volume_PEP,Volume_PG,Volume_TSLA,Volume_UNH,Volume_V,Volume_WMT,Volume_XOM
2018-01-02,40.304176330566406,69.34370422363281,59.45050048828125,89.45236206054688,53.22062683105469,154.82107543945312,110.76417541503906,86.34088897705078,145.05819702148438,180.16151428222656,41.90156936645508,78.8703842163086,4.9282660484313965,91.602783203125,72.82499694824219,21.368667602539062,193.09046936035156,108.11190795898438,28.91441535949707,58.58042526245117,40.313537247208004,69.68897671292272,59.5,89.56454283215098,53.357991712931344,157.0359830266308,111.33697110530876,86.39687634203554,146.49054045040168,180.32040802242759,42.296586459914494,79.20073194713669,4.93197462052338,93.24769389261407,73.85330258119286,21.474000930786133,194.21673724318106,108.65005967843132,29.266348603189563,58.69754351687457,39.60225752847971,68.17399790647127,58.5255012512207,88.02202111462616,52.219403426462016,154.80460422211604,110.35845019239073,85.42909126034742,144.30382132274613,176.3183647528784,41.774864027643495,78.45745305325805,4.8083662387712005,91.50191829995627,72.7446617198901,20.733333587646484,192.07769287333977,107.58319231658734,28.89388477354032,57.63658311586202,39.81283531119191,68.44880739043424,58.599998474121094,88.14121485612071,52.219403426462016,156.61606121346716,111.1062674624152,86.08494586538256,145.1536778410817,176.4474526579683,42.17733612904446,79.03555808172264,4.840009577099086,93.0537188267632,73.84526721960214,20.799999237060547,192.96823863413636,108.16855323373281,29.12264121412463,57.7468105152657,102223600,4561300,53890000,5626000,31766000,4684700,6842100,13578800,3168900,18151900,10556504,22483800,355616000,4165800,7558900,65283000,3485000,6080900,30451500,11469300
2018-01-03,40.297149658203125,70.42884063720703,60.209999084472656,90.10443115234375,54.12862777709961,155.62799072265625,111.82225036621094,86.42889404296875,146.88197326660156,183.3889617919922,41.841941833496094,79.23741912841797,5.252614974975586,91.3622817993164,72.73661041259766,21.149999618530273,195.1160125732422,109.18818664550781,29.166643142700195,59.730934143066406,40.839968474154716,70.534537824641,60.27450180053711,90.40593003952478,54.355750700510285,155.91618049152498,111.91771226340732,86.77281826704926,147.03474541105953,183.49819933966575,41.931378086778345,79.38424341864007,5.283022911178578,91.92093109376847,73.17845713626264,21.683332443237305,195.40413071646856,109.32036372536517,29.3279443816534,59.916950382794056,40.23397954869898,69.08297960356008,59.415000915527344,88.97558897734324,53.23154311672444,154.64817314898966,110.50163747251875,85.96500121922848,145.29684388218746,180.07213465781712,41.7077844739534,78.88872194059171,5.037042002246591,91.2769322726834,72.72053969293933,21.036666870117188,192.53170193691196,108.25350380848482,28.967210786250842,58.435732342770024,40.36734223890624,69.44234789044268,59.415000915527344,89.36822973386515,53.256335915730126,154.79637641490538,110.86759497694138,86.26893184197787,145.42097033890062,180.61832239618496,41.90901902345778,78.97130535311602,5.045694552012825,91.48642871792838,72.88925160343332,21.399999618530273,193.49208242551634,108.52729404311036,28.990674798434238,58.669974041652836,118071600,4702300,62176000,5805500,31318000,4530500,5350500,11901000,3732400,16886600,11090460,26061400,914704000,4224000,5863600,67822500,2417600,6946100,26710800,13957700
2018-01-04,40.48432540893555,70.02719116210938,60.47949981689453,89.82396697998047,54.338890075683594,156.8630828857422,111.81432342529297,87.66702270507812,148.78225708007812,183.05133056640625,42.520179748535156,79.93482971191406,5.280301570892334,91.8122787475586,73.25077056884766,20.974666595458984,195.96287536621094,109.59420013427734,29.19303321838379,59.81361770629883,40.58727404295443,70.5486291532845,60.79349899291992,89.99224615717408,54.7514804041107,157.15950200919383,112.28369404010787,88.46297065511803,150.30053734198148,184.91829412009614,42.79594650893985,80.43952951647438,5.390560484814146,92.41748000032123,73.72475265086825,21.23666763305664,197.4034658890191,110.80268083876648,29.263418532652842,60.08919405316541,40.262051896472606,69.30141209783112,60.233001708984375,89.19994640854098,54.26450789235017,155.1833828954221,111.55179101214958,86.99166828235218,147.35947219097483,182.82293028684023,42.0208193644254,79.43930817679164,5.258052029072682,91.24586895582097,72.79285307893609,20.3786678314209,195.718413942125,109.54699093049351,29.008267992571415,59.544932213553864,40.36967741738859,70.51339496772495,60.25,89.7117808618514,54.40484656612366,156.3361169511458,111.73476373436303,87.12030955675849,147.5695357841483,183.6173686771465,42.06553749324252,79.45765771469915,5.33394783508857,91.40105255886854,72.9695942380571,20.857999801635742,195.86683599802373,109.75469990216129,29.19303321838379,59.79295040011562,89738400,3579000,60442000,4598300,26052000,4047400,4837600,12953700,3247200,13880900,15751650,21912000,583268000,3147000,6322500,149194500,2749100,7805300,20491200,10863000
2018-01-05,40.94526290893555,71.24623107910156,61.457000732421875,89.67674255371094,55.0594367980957,158.5016326904297,112.7371597290039,87.10421752929688,151.8665771484375,185.55386352539062,42.47547912597656,80.92587280273438,5.325052261352539,92.07611083984375,73.29896545410156,21.10533332824707,199.69970703125,112.21885681152344,29.36606788635254,59.76540756225586,41.031831750925626,71.30964617006114,61.457000732421875,89.81697522614499,55.22258954087465,158.53456256652686,112.82467053128995,88.07705020032527,151.8665771484375,185.60350456264763,42.77360507366235,81.12775272460983,5.362381783209699,92.40198762886405,73.34717148549568,21.14933204650879,199.9790991970701,112.3510339222418,29.439386620704045,59.8549676640714,40.48901640769327,69.44939490482355,60.5,89.11582256263375,54.638416989259554,156.86309180871837,111.59951929928526,86.65398538227431,149.14513365771555,183.64716886176097,42.17735317829078,80.22847134561052,5.218254284998833,91.75023405082345,72.76071278214118,20.799999237060547,196.19865888203412,109.91518624795381,29.213563576374796,59.04891097918253,40.58026570794173,69.99901386373703,60.8754997253418,89.72582265173048,54.720241175148296,157.20891204510707,111.92569702954273,87.84389251448775,149.1546773675215,184.3025942053248,42.77360507366235,80.43952953692622,5.295138944729496,91.87438097215558,73.32306540520666,21.107999801635742,196.60900779923756,110.4533379710535,29.22236048197037,59.76540756225586,94640000,4599300,70894000,4189200,30250000,4224800,6158800,14155000,2747700,13574500,9955057,23407100,580124000,2714200,5949700,68868000,2432800,8590500,21852000,11047600
2018-01-08,40.793174743652344,70.10469055175781,62.34349822998047,90.11846923828125,55.25382995605469,158.12286376953125,112.88033294677734,87.23285675048828,152.32565307617188,186.9739227294922,42.22951126098633,81.00843048095703,5.4882121086120605,91.54847717285156,73.68458557128906,22.42733383178711,196.2335662841797,112.67205047607422,29.800125122070312,60.03407669067383,41.08797929939686,71.36599784862031,62.65399932861328,90.18858825367772,55.4993025166289,159.50615722431695,112.96784373382538,87.37757509921126,153.48288754385018,187.58961701399005,42.66924951503583,81.2837224689322,5.562376945946601,92.1304024133191,73.72475011477218,22.468000411987305,199.6822448799972,113.74836128832708,29.841186305192277,60.04096754467585,40.6949029882612,69.18161310235908,61.60150146484375,89.48743554502187,55.04505664237201,157.76058489133084,112.1086502261998,86.58966272639664,151.1875360787029,185.0374526791032,42.11026091606914,80.38444137571726,5.40366374138329,91.30018930703807,73.04992694408844,21.03333282470703,196.1026095394415,111.47301301786213,29.389533428753136,59.66204941728767,40.793174743652344,71.36599784862031,61.79999923706055,89.64870179137198,55.09464602680576,157.85938707958013,112.72917684741236,86.95146166518049,151.66573551673264,185.90141274321354,42.639435438996614,80.93501835070151,5.448657465829834,91.71917619053265,73.04992694408844,21.066667556762695,199.17585659675777,111.98284218057768,29.40126711325488,59.73094218876328,82271200,5582000,85590000,4826100,24644000,3508500,5129800,12466500,3143100,17994700,11642546,22113000,881216000,5730400,4860700,147891000,2850800,6660700,26531700,10927100
2018-01-09,40.78849792480469,70.63317108154297,62.6349983215332,89.63467407226562,55.183414459228516,158.99566650390625,114.67031860351562,87.675048828125,152.5456085205078,186.5667724609375,42.33384704589844,80.95337677001953,5.486729145050049,91.61829376220703,73.1463394165039,22.246000289916992,197.21141052246094,112.45489501953125,29.442325592041016,59.779170989990234,40.959297149866934,70.92912421444004,62.96649932861328,90.40594043170388,55.46359997565758,159.30031496791966,115.89545750677557,88.14135803057819,153.1290123719433,187.4903290863987,42.55744064224715,81.42137036009547,5.5332058306834355,92.3166051011786,73.62835688565761,22.586666107177734,197.86622084074733,113.26684429212165,30.01715531794113,60.04097089485972,40.5732432755148,69.54802393020319,62.0880012512207,89.59961991459188,54.955795886264745,157.7935187398764,113.17468408290276,87.22481058120287,151.62745925185175,185.80212473195056,42.16242360024693,80.62302917713843,5.405147628453449,91.51742295123704,73.1142041013357,21.82666778564453,194.95886142889773,112.03004102478376,29.418864935152154,59.696501762079315,40.83997225073741,70.10469064020106,62.845001220703125,90.04834843839186,55.46359997565758,158.666304928349,113.26219487164293,87.40973084700254,152.68906250303803,187.3910167084553,42.34129907324972,81.34795822812939,5.4936511845474225,91.75795603000135,73.48375103199304,22.3439998626709,196.23355138809123,113.26684429212165,29.923302621434225,59.89629448983377,86336000,4055400,73226000,4422300,26808000,3012300,8897000,13292300,2573900,12393100,11142022,19484300,497000000,4573600,6630100,107199000,2672200,6562400,21938100,8131600
2018-01-10,40.77913284301758,70.24564361572266,62.71649932861328,90.20960235595703,55.05199432373047,157.92523193359375,114.53511047363281,88.63986206054688,152.889892578125,186.5369873046875,42.70650863647461,80.58633422851562,5.529744625091553,91.15278625488281,72.68038940429688,22.31999969482422,195.74465942382812,112.33216857910156,29.23115348815918,59.30381393432617,40.781474856775525,70.60500655579511,62.71649932861328,90.27971065756806,55.182912254345965,159.09443702539684,114.68626662027593,89.00165496231426,152.9950970159829,186.58664349513037,42.75868177484154,80.92586013497365,5.533205644723922,91.83557651070176,73.03387175589134,22.46666717529297,196.4518525478212,112.39825714270573,29.295675308307967,60.068535916935716,40.47730939010454,69.8862752996675,61.86149978637695,89.60661532908395,54.74652041343671,157.80171665589936,114.01800884058568,87.94843044627433,150.69974603624638,184.34232612476595,42.080445874169186,80.21010925197795,5.339882235713851,90.5475789394483,72.31084245907762,22.0,194.7231567644879,110.89709233639202,28.89681741906319,59.23492115113788,40.514745908802524,70.2174573383867,62.25749969482422,89.96419655367505,54.89627981139507,158.71567442986716,114.2009815837877,88.01275109270769,152.28735674371276,185.6432364884832,42.14752306953848,80.62304029956249,5.394269754440875,91.65711680493571,73.03387175589134,22.14666748046875,196.2947044412237,112.05837104328049,29.254617493811498,59.93763594955027,95839600,4608600,53720000,5292200,20734000,3119500,6558600,15834500,2416900,10529900,9497395,18652200,582664000,3363900,6564700,64648500,2311600,7490300,23791200,10822300
2018-01-11,41.010772705078125,70.45143127441406,63.83399963378906,92.95108795166016,55.14671325683594,160.29661560058594,115.18743896484375,89.11419677734375,153.90370178222656,186.4674835205078,42.93010330200195,80.82491302490234,5.539633274078369,90.6872329711914,72.42330169677734,22.530000686645508,196.78359985351562,113.14411926269531,29.333810806274414,59.88939666748047,41.059908588629746,70.60756506513415,63.8385009765625,93.47694834324369,55.28556503634139,160.33778737101963,115.27494976792754,89.18655902487522,154.10455196263328,187.09310303993448,42.937558310302364,80.8707903589186,5.593773709416241,91.43985727604586,72.72054260132367,22.987333297729492,197.2463314209784,113.27630360301812,29.45992105963312,60.19253115103655,40.82593567106534,69.94754839543629,62.823001861572266,90.2797081755439,54.87049658472819,157.59591330309325,114.31234307311016,88.47905044498002,152.48823556496373,186.08018947402766,42.602166366133346,80.05409960318352,5.518124971293101,90.29928278680458,72.23852518841875,22.21733283996582,195.3080917782606,112.04893623966109,28.97014379498533,59.20045848207574,40.849330820735744,70.52240511713701,62.98699951171875,90.39189429342608,55.15960717685105,157.82646014088942,114.66238628544532,88.97752002906059,153.1194623108267,187.09310303993448,42.70650966576248,80.8707903589186,5.562376981636238,91.27691890896139,72.62414279625305,22.349332809448242,195.72716665929005,112.16223401574618,29.239961471510583,59.496702112047025,74670800,4240900,62500000,11641300,22424000,3899200,4962200,13676800,2804000,9588600,7447402,17808900,406032000,3685200,5469700,99682500,2543600,5982100,19613100,14366000
2018-01-12,41.43425750732422,71.21082305908203,65.26000213623047,93.67329406738281,56.069095611572266,161.72926330566406,115.9591064453125,90.58551788330078,155.25218200683594,178.12571716308594,43.72013473510742,82.21973419189453,5.512439250946045,91.0751953125,71.98947143554688,22.4146671295166,199.62110900878906,113.38014221191406,29.58308982849121,60.29587936401367,41.49743118615743,71.42373381267593,65.28800201416016,93.84858091204583,56.10132663134189,164.19941804774726,116.4841711941675,90.73023627442963,155.43390007054697,180.22108083685907,43.83193303589785,82.38490804789953,5.562129871196444,91.56401639865236,72.57592390979978,22.694000244140625,200.72118555476092,113.62561710641126,29.75025786162515,60.61968121492131,41.09733598040432,70.01854016550138,63.669498443603516,92.62858062167362,54.94637481997986,160.41185498153374,115.27493447716583,89.11421526248324,153.2628712250524,176.16938171232874,43.146242154364884,81.16445716747197,5.47189581277833,90.66396900930255,71.78059501291708,22.244667053222656,197.77018276003162,113.02137675312062,29.415921795357274,60.06164285852949,41.221341324320264,70.50112776649618,63.669498443603516,92.68467369580499,55.050018035799674,160.97175069242135,115.34654304408438,89.76545108954036,154.45836944053644,176.82480697209243,43.19096326245271,81.36633710269683,5.527766757558744,90.74155787260665,72.34295366935379,22.575332641601562,198.58214116540725,113.40847205610132,29.442315864716306,60.075419312188814,101672400,4372600,108874000,7232900,38586000,6748400,5450600,18884200,3041000,77551300,12935569,24271500,359916000,4335500,8111000,72376500,3943800,5585800,20853600,9834500
2018-01-16,41.22369384765625,72.73668670654297,65.24299621582031,92.5584487915039,56.07156753540039,161.63873291015625,116.83421325683594,90.26390075683594,155.2139434814453,177.15252685546875,46.261661529541016,81.0726547241211,5.441487789154053,91.44760131835938,72.47953796386719,22.67066764831543,203.3404083251953,113.66337585449219,29.530305862426758,59.91695022583008,41.972406559387096,73.09863290983952,66.99700164794922,93.86960148316956,56.97311661601301,163.81246915147526,117.78886870267418,91.19653154480233,156.7920101421478,180.48921949741197,47.53614915250876,83.3116754244563,5.624428127036779,91.8277907724642,72.92138471132638,23.0,205.17388239030868,115.12677464459723,29.888109381689166,60.461211981258735,41.211994486349994,70.9695465144073,64.61499786376953,92.27098653703143,55.87122371564505,161.13646747814624,116.17390677086297,89.29911578593224,154.27667681215584,176.8049487072274,45.650502798528166,80.76066370900698,5.356939894778928,90.80360270859582,72.01358513562234,22.31999969482422,201.89983107556972,113.21019921968515,29.427659622725407,59.66204122457439,41.623785585266006,71.15406885141783,66.1500015258789,93.72235584662542,56.54812802368967,162.91498237482364,116.48417009423797,89.65287313777512,156.5050876044304,180.24095372093686,46.02316085203548,82.67850812782851,5.5388914373368765,90.93550432660071,72.41526734014016,22.502666473388672,203.75075715574783,114.40923656918788,29.720937949617593,60.44743027514717,118263600,8528600,144414000,6254200,36462000,5692700,8804000,22703300,4673400,36183800,50399682,36599700,702348000,4936500,9465300,97114500,6852600,8803800,21512100,10882800
