Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JPM,V,UNH,JNJ,WMT,XOM,PG,MA,HD,CVX,MRK,ABBV,PEP
2018-01-03,-0.0001743562477386958,0.004642852075153128,0.01691716639041854,0.012694394527191124,0.06373883119469492,0.01775562136603276,-0.010285830962693707,0.0010187553863999046,0.009906001096175255,0.010435485695474008,0.009507164842233084,0.008685426034122772,0.019449445161151435,-0.0012144211390613198,0.012494340664693682,0.005198386391033963,0.007263127689884697,-0.0014240516591974368,0.015527487419296089,-0.0026289340243179937
2018-01-04,0.0046341338913758875,0.008763023095437599,0.003876968259535656,0.0044660253429876385,0.00525716871724708,-0.00184276308129915,-0.008324530558682127,0.014223763078937707,0.0037115780739263122,0.004330911960669709,-7.089127495477176e-05,0.0009043942368385531,0.0013833098227932922,0.007043927751999185,0.012854513904852663,0.007904856802636705,-0.003117511214730152,0.016079551238618307,-0.005719235618003939,0.004913322594250022
2018-01-05,0.011321251469796758,0.012321911000344861,0.013173092545399489,0.0160332935792393,0.008439314099397103,0.013578600899089549,0.006210416017176824,-0.006440500398774722,0.023666588610393474,0.01888954348334703,0.008219420207991789,0.005909761875137665,-0.0008063311529218827,0.0006577273804684679,0.020518478215868795,0.010391552818338125,-0.0016403774632989326,-0.001051833170581517,0.01725830881718478,0.002869482667267763
2018-01-08,-0.0037213420066635077,0.0010196441853432185,0.003524387680591352,0.014321632906715799,0.030180013319313487,0.007623947178448591,0.060754702381703427,0.0014757531646005149,0.004030347722622531,-0.017509158899477205,0.001269167876071164,0.014672737958619087,0.004485321126704409,0.005247131386477723,0.0030183300600583386,-0.0023925445176513275,0.004913674495873934,-0.005807652069062626,-0.01615221651895963,-0.00574688961723644
2018-01-09,-0.00011465366423119106,-0.0006798357463690644,-0.0012752130269325231,0.004664812398839383,-0.00027024537749437404,-0.002179952198167372,-0.008118245093933886,0.005056295406068148,-0.001929182874264267,0.004970688707618514,0.015732959380469317,-0.012079307194073874,-0.004255056769058434,-0.007331542259095522,0.0014429400878761193,0.005504597523780218,-0.00538289706974849,0.0024676370462300154,0.0075101754087855835,0.0007623281491528606
2018-01-10,-0.00022962740832614432,-0.004544308899361477,-0.0023843554300913145,0.001300359709972529,0.007809340729154327,-0.0001596615179218637,0.003320893638202626,0.010944313873664705,-0.0010919351911009103,-0.00746525132267732,-0.0011797988041602394,-0.007198244215619595,-0.007983669217917114,-0.006390482755662183,0.002254382363477719,-0.006755241741443675,0.0063936451427320596,0.00876440304312928,-0.005501585800649253,-0.005093896844668743
2018-01-11,0.005664280447253774,0.002956162896816271,0.0017190574828113434,0.01766139781681635,0.0017866679965979372,-0.0003726699834473351,0.009364661080734738,0.005336990286340545,0.00720212489801192,0.00529359520617038,0.005679287872885931,0.0035057623442052138,0.00982585235456007,-0.0035435070545422292,0.006609087758051718,0.01490424106803588,0.02993754111977055,0.005221952820462071,0.0029252606082732476,-0.0051204823105570774
2018-01-12,0.01027323358784989,0.017110101056457442,0.016587632881509072,0.02209336587396363,-0.004921082077708724,-0.04576729559294003,-0.005132257768969449,0.016375696401431293,0.0020838653934284264,0.01431646777458114,0.0066768927556297535,0.008462105339698909,0.006764293595045275,-0.006008215989173464,0.00872368178782946,0.008897776550604596,0.0077397145336453865,0.01823545655347523,0.010721261810773068,0.004268901270099409
2018-01-16,-0.005094830241688682,-0.01404962403958354,4.408612824569207e-05,-0.0002606211461983206,-0.012954706346277512,-0.0054784820522659665,0.01135638767539583,-0.003556743150544471,0.0024949735796483416,0.018460348093265466,0.007518350911449887,-0.0017858551171379712,-0.0063043253287573,0.0067844087821505,-0.0002463297760671108,-0.0005599218162120889,-0.011972809536315339,0.056504828279051476,0.021201072585138186,0.004080657643884002
2018-01-17,0.016381105107555246,0.02005860801717138,0.007401704929207278,-0.0075850021734760985,0.020728022872287942,-0.004438308859706097,0.02066361394773987,0.006392637428518779,0.013120480233188967,0.023466618356273818,0.0008167781413947458,0.01976547496057783,0.01177376973020088,0.010803805750841911,0.012430747503744155,0.017721974626714796,0.0026480301580398633,-0.0006449560296181811,0.018080954665241615,0.011137772132162644
