date,n_assets,assets,turnover,transaction_cost,expected_return,volatility,sharpe_ratio,sortino_ratio,weights_sum
2020-02-03,14,"{'AAPL': 0.1981, 'MSFT': 0.0386, 'AMZN': 0.0125, 'NVDA': 0.1922, 'META': 0.0182, 'TSLA': 0.0601, 'JPM': 0.0754, 'V': 0.0284, 'UNH': 0.04, 'WMT': 0.1713, 'PG': 0.0261, 'MRK': 0.0519, 'ABBV': 0.0519, 'PEP': 0.0354}",0.1581,0.000316,24.999,23.434,0.8961,1.1156,1.0
2020-03-02,13,"{'AAPL': 0.1864, 'MSFT': 0.0574, 'NVDA': 0.1873, 'TSLA': 0.083, 'JPM': 0.0374, 'UNH': 0.0584, 'WMT': 0.1893, 'XOM': 0.0083, 'PG': 0.0738, 'MA': 0.0083, 'CVX': 0.0204, 'MRK': 0.0336, 'ABBV': 0.0563}",0.1673,0.000335,25.405,23.378,0.9156,1.1401,1.0
2020-04-01,14,"{'AAPL': 0.1982, 'MSFT': 0.031, 'AMZN': 0.0325, 'NVDA': 0.1871, 'META': 0.025, 'TSLA': 0.0742, 'JPM': 0.0337, 'UNH': 0.0502, 'WMT': 0.1783, 'XOM': 0.0228, 'PG': 0.0376, 'MA': 0.0202, 'MRK': 0.0707, 'ABBV': 0.0385}",0.1327,0.000265,25.393,23.678,0.9035,1.1314,1.0
2020-05-01,15,"{'AAPL': 0.1865, 'MSFT': 0.0422, 'GOOGL': 0.0327, 'NVDA': 0.1973, 'TSLA': 0.0809, 'JPM': 0.0454, 'UNH': 0.0091, 'JNJ': 0.0301, 'WMT': 0.1957, 'XOM': 0.0091, 'PG': 0.0234, 'MA': 0.0091, 'MRK': 0.0748, 'ABBV': 0.0496, 'PEP': 0.014}",0.1491,0.000298,25.491,23.525,0.9135,1.1488,1.0
2020-06-01,13,"{'AAPL': 0.1842, 'MSFT': 0.0673, 'GOOGL': 0.0446, 'NVDA': 0.1741, 'TSLA': 0.0529, 'JPM': 0.0857, 'UNH': 0.0471, 'WMT': 0.1814, 'PG': 0.0359, 'MA': 0.0249, 'MRK': 0.0194, 'ABBV': 0.0483, 'PEP': 0.0342}",0.1638,0.000328,24.533,23.105,0.8887,1.1007,1.0
2020-07-01,14,"{'AAPL': 0.1708, 'MSFT': 0.0651, 'GOOGL': 0.0122, 'NVDA': 0.1689, 'TSLA': 0.1097, 'JPM': 0.0617, 'UNH': 0.0298, 'JNJ': 0.025, 'WMT': 0.1688, 'PG': 0.0365, 'MA': 0.0295, 'MRK': 0.0521, 'ABBV': 0.0612, 'PEP': 0.0088}",0.1327,0.000265,25.481,23.717,0.9057,1.1343,1.0
2020-08-03,14,"{'AAPL': 0.2046, 'MSFT': 0.0307, 'AMZN': 0.0093, 'NVDA': 0.1929, 'META': 0.0312, 'TSLA': 0.0628, 'JPM': 0.0229, 'UNH': 0.0093, 'WMT': 0.2149, 'XOM': 0.0381, 'PG': 0.0409, 'MRK': 0.0517, 'ABBV': 0.0813, 'PEP': 0.0093}",0.2078,0.000416,25.081,23.16,0.9102,1.1401,1.0
2020-09-01,14,"{'AAPL': 0.1764, 'MSFT': 0.0567, 'GOOGL': 0.0206, 'NVDA': 0.1808, 'TSLA': 0.0737, 'JPM': 0.0355, 'V': 0.0094, 'UNH': 0.0778, 'WMT': 0.2157, 'XOM': 0.0093, 'PG': 0.0681, 'HD': 0.0093, 'MRK': 0.0572, 'ABBV': 0.0093}",0.1909,0.000382,25.064,22.992,0.9162,1.1425,1.0
2020-10-01,14,"{'AAPL': 0.1662, 'MSFT': 0.0511, 'AMZN': 0.0088, 'NVDA': 0.1709, 'TSLA': 0.0682, 'JPM': 0.0318, 'UNH': 0.0256, 'WMT': 0.1955, 'XOM': 0.0228, 'PG': 0.0773, 'HD': 0.0364, 'CVX': 0.0249, 'MRK': 0.0931, 'ABBV': 0.0274}",0.1375,0.000275,23.879,22.116,0.8989,1.1089,1.0
2020-11-02,15,"{'AAPL': 0.1757, 'MSFT': 0.0518, 'GOOGL': 0.0252, 'NVDA': 0.1588, 'TSLA': 0.0987, 'JPM': 0.032, 'UNH': 0.0351, 'JNJ': 0.0197, 'WMT': 0.1862, 'PG': 0.041, 'HD': 0.0554, 'CVX': 0.0081, 'MRK': 0.0549, 'ABBV': 0.0279, 'PEP': 0.0294}",0.1444,0.000289,24.508,23.087,0.8883,1.1026,1.0
2020-12-01,13,"{'AAPL': 0.192, 'MSFT': 0.0286, 'AMZN': 0.0132, 'NVDA': 0.1826, 'TSLA': 0.097, 'JPM': 0.044, 'UNH': 0.0506, 'WMT': 0.2165, 'PG': 0.0899, 'HD': 0.0159, 'MRK': 0.0488, 'ABBV': 0.0097, 'PEP': 0.0112}",0.1599,0.00032,25.617,23.449,0.9219,1.1591,1.0
2021-01-04,14,"{'AAPL': 0.1827, 'MSFT': 0.0366, 'GOOGL': 0.0085, 'NVDA': 0.1928, 'META': 0.0124, 'TSLA': 0.0552, 'JPM': 0.0542, 'V': 0.0085, 'UNH': 0.0783, 'WMT': 0.1806, 'PG': 0.0602, 'MA': 0.0085, 'MRK': 0.0706, 'ABBV': 0.0509}",0.1569,0.000314,24.772,22.828,0.9099,1.1317,1.0
2021-02-01,13,"{'AAPL': 0.1817, 'MSFT': 0.0559, 'AMZN': 0.011, 'NVDA': 0.1853, 'TSLA': 0.084, 'JPM': 0.052, 'UNH': 0.0407, 'JNJ': 0.0166, 'WMT': 0.2026, 'PG': 0.0614, 'CVX': 0.0101, 'MRK': 0.0669, 'ABBV': 0.0317}",0.109,0.000218,25.295,23.182,0.9186,1.152,1.0
2021-03-01,15,"{'AAPL': 0.1805, 'MSFT': 0.0631, 'GOOGL': 0.0089, 'AMZN': 0.0101, 'NVDA': 0.1707, 'META': 0.0553, 'TSLA': 0.0449, 'JPM': 0.0263, 'UNH': 0.0642, 'JNJ': 0.0312, 'WMT': 0.1558, 'PG': 0.0596, 'HD': 0.0089, 'MRK': 0.0856, 'ABBV': 0.0348}",0.1401,0.00028,23.687,22.55,0.8731,1.0865,1.0
2021-04-01,14,"{'AAPL': 0.1641, 'MSFT': 0.048, 'GOOGL': 0.0175, 'NVDA': 0.1539, 'META': 0.01, 'TSLA': 0.125, 'JPM': 0.0538, 'UNH': 0.0699, 'WMT': 0.1883, 'XOM': 0.0158, 'PG': 0.0491, 'MRK': 0.0412, 'ABBV': 0.0448, 'PEP': 0.0185}",0.1986,0.000397,25.218,23.56,0.9006,1.1224,1.0
2021-05-03,15,"{'AAPL': 0.1629, 'MSFT': 0.0709, 'NVDA': 0.1902, 'META': 0.0124, 'TSLA': 0.0841, 'JPM': 0.0567, 'UNH': 0.0379, 'WMT': 0.1801, 'XOM': 0.0102, 'PG': 0.0609, 'MA': 0.0103, 'HD': 0.0088, 'CVX': 0.0245, 'MRK': 0.0744, 'ABBV': 0.0157}",0.153,0.000306,25.358,23.562,0.9065,1.1285,1.0
2021-06-01,14,"{'AAPL': 0.1722, 'MSFT': 0.0492, 'GOOGL': 0.0237, 'NVDA': 0.2014, 'TSLA': 0.0815, 'JPM': 0.0237, 'V': 0.0322, 'UNH': 0.042, 'WMT': 0.18, 'PG': 0.0553, 'MA': 0.0266, 'HD': 0.0319, 'MRK': 0.0494, 'ABBV': 0.0308}",0.1351,0.00027,26.01,24.145,0.9116,1.145,1.0
2021-07-01,14,"{'AAPL': 0.1591, 'MSFT': 0.0625, 'GOOGL': 0.0187, 'NVDA': 0.1932, 'TSLA': 0.0679, 'JPM': 0.0508, 'V': 0.0215, 'UNH': 0.0354, 'JNJ': 0.029, 'WMT': 0.1678, 'PG': 0.0536, 'CVX': 0.0257, 'MRK': 0.0431, 'ABBV': 0.0717}",0.136,0.000272,24.632,23.038,0.8955,1.1112,1.0
2021-08-02,14,"{'AAPL': 0.2044, 'MSFT': 0.0388, 'NVDA': 0.194, 'TSLA': 0.0915, 'JPM': 0.0273, 'UNH': 0.055, 'JNJ': 0.0092, 'WMT': 0.1791, 'PG': 0.0641, 'MA': 0.0155, 'HD': 0.0092, 'CVX': 0.0135, 'MRK': 0.079, 'ABBV': 0.0194}",0.1718,0.000344,25.876,23.78,0.9199,1.1549,1.0
2021-09-01,14,"{'AAPL': 0.185, 'MSFT': 0.0568, 'GOOGL': 0.0179, 'NVDA': 0.1836, 'TSLA': 0.0705, 'JPM': 0.0386, 'UNH': 0.0573, 'WMT': 0.1648, 'PG': 0.0618, 'MA': 0.0146, 'HD': 0.0294, 'MRK': 0.0477, 'ABBV': 0.0419, 'PEP': 0.0301}",0.1225,0.000245,24.92,23.219,0.901,1.1186,1.0
2021-10-01,13,"{'AAPL': 0.1797, 'MSFT': 0.0402, 'GOOGL': 0.0162, 'NVDA': 0.1915, 'TSLA': 0.0866, 'JPM': 0.0304, 'V': 0.0248, 'UNH': 0.0427, 'WMT': 0.1925, 'PG': 0.0534, 'MRK': 0.0672, 'ABBV': 0.0358, 'PEP': 0.039}",0.1051,0.00021,25.398,23.361,0.916,1.1482,1.0
2021-11-01,14,"{'AAPL': 0.1764, 'MSFT': 0.0527, 'GOOGL': 0.0243, 'NVDA': 0.1961, 'TSLA': 0.0451, 'JPM': 0.0133, 'UNH': 0.058, 'WMT': 0.2158, 'XOM': 0.0093, 'PG': 0.0727, 'MA': 0.0093, 'CVX': 0.016, 'MRK': 0.0556, 'ABBV': 0.0553}",0.1373,0.000275,24.593,22.552,0.9131,1.1398,1.0
2021-12-01,14,"{'AAPL': 0.1919, 'MSFT': 0.0303, 'NVDA': 0.1787, 'TSLA': 0.0989, 'JPM': 0.0484, 'V': 0.0194, 'UNH': 0.0611, 'WMT': 0.1642, 'XOM': 0.0242, 'PG': 0.0477, 'MA': 0.0087, 'MRK': 0.0617, 'ABBV': 0.056, 'PEP': 0.0087}",0.1573,0.000315,25.339,23.456,0.9097,1.1301,1.0
2022-01-03,15,"{'AAPL': 0.1889, 'MSFT': 0.0768, 'GOOGL': 0.0152, 'AMZN': 0.0158, 'NVDA': 0.1894, 'META': 0.016, 'TSLA': 0.0918, 'JPM': 0.038, 'V': 0.0099, 'UNH': 0.0156, 'WMT': 0.1486, 'PG': 0.065, 'CVX': 0.0182, 'MRK': 0.0911, 'ABBV': 0.0196}",0.1692,0.000338,26.054,24.312,0.9071,1.1412,1.0
2022-02-01,13,"{'AAPL': 0.195, 'MSFT': 0.0307, 'AMZN': 0.0402, 'NVDA': 0.258, 'TSLA': 0.0674, 'JPM': 0.0352, 'UNH': 0.0107, 'WMT': 0.1947, 'PG': 0.0295, 'MA': 0.0302, 'MRK': 0.0609, 'ABBV': 0.0325, 'PEP': 0.015}",0.2032,0.000406,27.692,25.573,0.9264,1.1873,1.0
